Date,donor,jem-id_cell_specimen,cell_specimen_id ,type of experiment,injection region,virus,jem-status_reporter,jem-id_patched_cell_container,jem-roi_minor,jem-nucleus_post_patch,link_ims_20x ,ims63x_go_no_go ,image_series_63x_qc ,link_ims_63x ,Annotated structure,x,y,z,notes,Unofficial structure,rnaamp_fail,exp_component_name,Genes.Detected.CPM,ephys_roi_id,ephys_qc,storage_directory,failed_bad_rs,failed_electrode_0,failed_no_seal,ephys_fx_extraction,qualitative_call_type_I_II
12/17/2024,773004,Dbh-Cre-KI;Ai65-773004.07.01.01,1410640229,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,P6S4_241217_401_A01,LC,unknown,,,,,,,,,,LC_retro,NULL,,,1410640157,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410640157/,,,,,
12/17/2024,773004,Dbh-Cre-KI;Ai65-773004.07.02.01,1410641574,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,P9S4_241217_551_A01,LC,nucleus_present,,,,,,,,,,LC_retro,NULL,,,1410641516,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410641516/,,,,,
12/18/2024,773002,Dbh-Cre-KI;Ai65-773002.06.01.01,1410790226,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,NA,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410790193,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410790193/,,,,,
12/18/2024,773002,Dbh-Cre-KI;Ai65-773002.06.02.01,1410789844,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,NA,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410789816,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410789816/,,,,,
12/18/2024,773002,Dbh-Cre-KI;Ai65-773002.07.02.01,1410793938,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,P4S4_241218_151_A01,LC,nucleus_present,,,,,,,,,,LC_retro,NULL,,,1410793905,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410793905/,,,,,
12/19/2024,773000,Dbh-Cre-KI;Ai65-773000.04.02.01,1410934536,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,NA,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410934497,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410934497/,,,,,
12/19/2024,773000,Dbh-Cre-KI;Ai65-773000.04.02.02,1410945257,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,P4S4_241219_151_A01,LC,nucleus_present,,,,,,,,,,LC_retro,NULL,,,1410945226,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410945226/,,,,,
12/19/2024,773000,Dbh-Cre-KI;Ai65-773000.04.02.03,1410948458,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,P4S4_241219_152_A01,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410948417,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410948417/,,,,,
12/19/2024,773002,Dbh-Cre-KI;Ai65-773002.03.01.01,1410946083,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,NA,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410946049,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410946049/,,,,,
12/19/2024,773002,Dbh-Cre-KI;Ai65-773002.03.01.02,1410948900,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,NA,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410948835,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410948835/,,,,,
12/19/2024,773002,Dbh-Cre-KI;Ai65-773002.04.01.01,1410934932,retrograde_labeling,C5,AAVretro-DIO-FlpO,Positive,NA,LC,nucleus_absent,,,,,,,,,,LC_retro,NULL,,,1410934898,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod5/Ephys_Roi_Result_1410934898/,,,,,
